timestamp,flow_id,ip_src,tp_src,ip_dst,tp_dst,ip_proto,flow_duration_sec,flow_duration_nsec,idle_timeout,hard_timeout,packet_count,byte_count,packet_count_per_second,packet_count_per_nsecond,Label
1715845591.871385,197.250.63.1223165510.0.0.78017,197.250.63.122,31655,10.0.0.7,80,17,15,715000000,20,100,0,0,0.0,0.0,1
1715845591.871385,197.250.63.1222261610.0.0.72261617,197.250.63.122,22616,10.0.0.7,22616,17,15,680000000,20,100,0,0,0.0,0.0,1
1715845591.871385,200.191.49.1073168510.0.0.78017,200.191.49.107,31685,10.0.0.7,80,17,15,43000000,20,100,0,0,0.0,0.0,1
1715845591.871385,200.191.49.1072261610.0.0.72261617,200.191.49.107,22616,10.0.0.7,22616,17,15,1000000,20,100,0,0,0.0,0.0,1
1715845591.871385,202.181.85.1913162910.0.0.78017,202.181.85.191,31629,10.0.0.7,80,17,16,676000000,20,100,0,0,0.0,0.0,1
1715845591.871385,202.181.85.1912261610.0.0.72261617,202.181.85.191,22616,10.0.0.7,22616,17,16,646000000,20,100,0,0,0.0,0.0,1
1715845591.871385,202.244.140.1813168610.0.0.78017,202.244.140.181,31686,10.0.0.7,80,17,15,9000000,20,100,0,0,0.0,0.0,1
1715845591.871385,202.244.140.1812261610.0.0.72261617,202.244.140.181,22616,10.0.0.7,22616,17,14,971000000,20,100,0,0,0.0,0.0,1
1715845591.871385,204.87.72.1813163310.0.0.78017,204.87.72.181,31633,10.0.0.7,80,17,16,461000000,20,100,0,0,0.0,0.0,0
1715845591.871385,204.87.72.1812261610.0.0.72261617,204.87.72.181,22616,10.0.0.7,22616,17,16,429000000,20,100,0,0,0.0,0.0,1
1715845591.871385,210.134.53.533163810.0.0.78017,210.134.53.53,31638,10.0.0.7,80,17,16,292000000,20,100,0,0,0.0,0.0,0
1715845591.871385,210.134.53.532261610.0.0.72261617,210.134.53.53,22616,10.0.0.7,22616,17,16,263000000,20,100,0,0,0.0,0.0,1
1715845591.871385,214.168.178.783163910.0.0.78017,214.168.178.78,31639,10.0.0.7,80,17,16,256000000,20,100,0,0,0.0,0.0,1
1715845591.871385,214.168.178.782261610.0.0.72261617,214.168.178.78,22616,10.0.0.7,22616,17,16,224000000,20,100,0,0,0.0,0.0,1
1715845591.871385,218.174.100.2503167210.0.0.78017,218.174.100.250,31672,10.0.0.7,80,17,15,514000000,20,100,0,0,0.0,0.0,1
1715845591.871385,218.174.100.2502261610.0.0.72261617,218.174.100.250,22616,10.0.0.7,22616,17,15,486000000,20,100,0,0,0.0,0.0,1
1715845591.871385,22.53.187.1893167810.0.0.78017,22.53.187.189,31678,10.0.0.7,80,17,15,299000000,20,100,0,0,0.0,0.0,0
1715845591.871385,22.53.187.1892261610.0.0.72261617,22.53.187.189,22616,10.0.0.7,22616,17,15,268000000,20,100,0,0,0.0,0.0,1
1715845591.871385,22.72.69.693161510.0.0.78017,22.72.69.69,31615,10.0.0.7,80,17,16,983000000,20,100,0,0,0.0,0.0,0
1715845591.871385,22.72.69.692261610.0.0.72261617,22.72.69.69,22616,10.0.0.7,22616,17,16,638000000,20,100,0,0,0.0,0.0,1
1715845591.871385,222.37.85.783167610.0.0.78017,222.37.85.78,31676,10.0.0.7,80,17,15,376000000,20,100,0,0,0.0,0.0,0
1715845591.871385,222.37.85.782261610.0.0.72261617,222.37.85.78,22616,10.0.0.7,22616,17,15,337000000,20,100,0,0,0.0,0.0,1
1715845591.871385,227.36.218.393167110.0.0.78017,227.36.218.39,31671,10.0.0.7,80,17,15,550000000,20,100,0,0,0.0,0.0,0
1715845591.871385,227.36.218.392261610.0.0.72261617,227.36.218.39,22616,10.0.0.7,22616,17,15,514000000,20,100,0,0,0.0,0.0,1
1715845591.871385,233.86.221.1073163510.0.0.78017,233.86.221.107,31635,10.0.0.7,80,17,16,393000000,20,100,0,0,0.0,0.0,1
1715845591.871385,233.86.221.1072261610.0.0.72261617,233.86.221.107,22616,10.0.0.7,22616,17,16,355000000,20,100,0,0,0.0,0.0,1
1715845591.871385,235.37.179.853169010.0.0.78017,235.37.179.85,31690,10.0.0.7,80,17,14,869000000,20,100,0,0,0.0,0.0,0
1715845591.871385,235.37.179.852261610.0.0.72261617,235.37.179.85,22616,10.0.0.7,22616,17,14,860000000,20,100,0,0,0.0,0.0,1
1715845591.871385,239.165.191.2123167010.0.0.78017,239.165.191.212,31670,10.0.0.7,80,17,15,588000000,20,100,0,0,0.0,0.0,1
1715845591.871385,239.165.191.2122261610.0.0.72261617,239.165.191.212,22616,10.0.0.7,22616,17,15,550000000,20,100,0,0,0.0,0.0,1
1715845591.871385,25.115.100.1743162610.0.0.78017,25.115.100.174,31626,10.0.0.7,80,17,16,780000000,20,100,0,0,0.0,0.0,1
1715845591.871385,25.115.100.1742261610.0.0.72261617,25.115.100.174,22616,10.0.0.7,22616,17,16,750000000,20,100,0,0,0.0,0.0,1
1715845591.871385,25.49.211.1383163110.0.0.78017,25.49.211.138,31631,10.0.0.7,80,17,16,525000000,20,100,0,0,0.0,0.0,0
1715845591.871385,25.49.211.1382261610.0.0.72261617,25.49.211.138,22616,10.0.0.7,22616,17,16,500000000,20,100,0,0,0.0,0.0,1
1715845591.871385,250.199.254.2493170710.0.0.78017,250.199.254.249,31707,10.0.0.7,80,17,14,860000000,20,100,0,0,0.0,0.0,1
1715845591.871385,250.199.254.2492261610.0.0.72261617,250.199.254.249,22616,10.0.0.7,22616,17,14,822000000,20,100,0,0,0.0,0.0,1
1715845591.871385,254.200.174.1963161310.0.0.78017,254.200.174.196,31613,10.0.0.7,80,17,17,12000000,20,100,0,0,0.0,0.0,1
